run_id,seed,worker_id,result,reason,timestamp
6813,22059,14,REJECT,neighbor_abort,2026-04-24 23:45:37
4528,20668,9,REJECT,connectivity_failed,2026-04-24 23:45:40
2712,21918,5,ACCEPT,outputs_ok,2026-04-24 23:45:40
9074,21800,19,ACCEPT,outputs_ok,2026-04-24 23:45:41
3162,21721,6,ACCEPT,outputs_ok,2026-04-24 23:45:41
9075,21822,19,REJECT,connectivity_failed,2026-04-24 23:45:50
1794,20266,3,ACCEPT,outputs_ok,2026-04-24 23:46:00
7708,21489,16,ACCEPT,outputs_ok,2026-04-24 23:46:04
5438,22078,11,ACCEPT,outputs_ok,2026-04-24 23:46:04
4070,22955,8,ACCEPT,outputs_ok,2026-04-24 23:46:04
5895,21573,12,ACCEPT,outputs_ok,2026-04-24 23:46:06
1795,20288,3,REJECT,connectivity_failed,2026-04-24 23:46:08
895,20286,1,ACCEPT,outputs_ok,2026-04-24 23:46:10
437,21891,0,ACCEPT,outputs_ok,2026-04-24 23:46:11
4071,22977,8,REJECT,connectivity_failed,2026-04-24 23:46:11
896,20308,1,REJECT,connectivity_failed,2026-04-24 23:46:15
5896,21595,12,REJECT,connectivity_failed,2026-04-24 23:46:15
1795,20310,3,REJECT,connectivity_failed,2026-04-24 23:46:16
9983,22088,21,ACCEPT,outputs_ok,2026-04-24 23:46:20
6357,21596,13,ACCEPT,outputs_ok,2026-04-24 23:46:21
1342,20661,2,ACCEPT,outputs_ok,2026-04-24 23:46:21
896,20330,1,REJECT,connectivity_failed,2026-04-24 23:46:22
8627,21601,18,ACCEPT,outputs_ok,2026-04-24 23:46:24
6358,21618,13,REJECT,connectivity_failed,2026-04-24 23:46:26
3619,21238,7,ACCEPT,outputs_ok,2026-04-24 23:46:29
1343,20683,2,REJECT,connectivity_failed,2026-04-24 23:46:30
896,20352,1,REJECT,connectivity_failed,2026-04-24 23:46:30
7258,20938,15,ACCEPT,outputs_ok,2026-04-24 23:46:34
896,20374,1,REJECT,connectivity_failed,2026-04-24 23:46:38
6358,21640,13,REJECT,neighbor_abort,2026-04-24 23:46:38
3620,21260,7,REJECT,connectivity_failed,2026-04-24 23:46:39
4984,20647,10,ACCEPT,outputs_ok,2026-04-24 23:46:42
3163,21743,6,ACCEPT,outputs_ok,2026-04-24 23:46:43
2261,22005,4,ACCEPT,outputs_ok,2026-04-24 23:46:46
4985,20669,10,REJECT,connectivity_failed,2026-04-24 23:46:49
896,20396,1,REJECT,connectivity_failed,2026-04-24 23:46:49
3164,21765,6,REJECT,connectivity_failed,2026-04-24 23:46:51
6813,22081,14,ACCEPT,outputs_ok,2026-04-24 23:46:53
8168,22128,17,ACCEPT,outputs_ok,2026-04-24 23:46:54
