seed,run_id,mobility,avg_neighbor_count,std_neighbor_count,min_neighbor_count,max_neighbor_count,avg_two_hop_count,std_two_hop_count,avg_routing_table_size,std_routing_table_size,fully_converged_nodes,node1_is_neighbor_of_node0,avg_min_euclidean_dist
35382,10035382,1,7.160000,3.590877,2.000000,15.000000,45.660000,38.509017,49.000000,0.000000,50,0,63.298479
35383,10035383,1,7.460000,2.662405,2.000000,12.000000,51.140000,25.484905,49.000000,0.000000,50,1,61.963421
35384,10035384,1,6.860000,3.924334,1.000000,16.000000,42.480000,39.628899,49.000000,0.000000,50,0,65.461931
35385,10035385,1,6.520000,2.146998,1.000000,11.000000,35.000000,14.044216,49.000000,0.000000,50,0,75.112418
35387,10035387,1,6.460000,2.434831,0.000000,12.000000,35.120000,22.093112,28.140000,13.622056,0,0,61.493381
35386,10035386,1,6.920000,2.834361,1.000000,15.000000,40.300000,30.398849,41.520000,9.683470,7,0,61.436222
35388,10035388,1,7.020000,2.709170,0.000000,12.000000,39.560000,24.842834,47.040000,6.720000,0,0,66.544168
35389,10035389,1,8.100000,3.567913,0.000000,15.000000,59.000000,37.662183,47.040000,6.720000,0,0,68.829163
35390,10035390,1,6.560000,3.182200,1.000000,14.000000,40.600000,34.351710,49.000000,0.000000,50,0,72.043475
35391,10035391,1,8.200000,3.725587,2.000000,15.000000,61.760000,40.599783,49.000000,0.000000,50,0,65.314858
35392,10035392,1,8.040000,3.924080,0.000000,16.000000,63.020000,46.685968,46.960000,6.731894,0,0,69.767164
35393,10035393,1,6.080000,2.512688,1.000000,12.000000,28.620000,18.987248,49.000000,0.000000,50,0,65.880049
35394,10035394,1,6.900000,2.692582,1.000000,12.000000,39.720000,26.452251,48.840000,0.987117,48,0,73.234928
35395,10035395,1,6.440000,2.426190,2.000000,11.000000,34.380000,21.739264,48.960000,0.195959,48,0,69.337639
35396,10035396,1,6.100000,2.443358,1.000000,11.000000,33.380000,16.946846,45.160000,9.014122,0,0,60.339958
35397,10035397,1,7.240000,3.823925,1.000000,15.000000,54.200000,45.663114,49.000000,0.000000,50,0,68.478510
35398,10035398,1,7.980000,2.789193,1.000000,14.000000,54.360000,26.960534,49.000000,0.000000,50,0,59.439135
35399,10035399,1,8.360000,3.363094,1.000000,15.000000,63.220000,36.828408,45.160000,9.014122,0,0,65.372133
35400,10035400,1,6.440000,2.974290,0.000000,12.000000,32.640000,19.083773,43.240000,10.924395,0,0,65.912104
35401,10035401,1,6.140000,2.490060,2.000000,12.000000,31.900000,21.198349,49.000000,0.000000,50,1,70.597259
35402,10035402,1,6.480000,2.515870,1.000000,11.000000,35.120000,21.447275,47.040000,6.352826,3,1,67.946408
35404,10035404,1,6.200000,2.289105,2.000000,12.000000,32.160000,17.334774,48.940000,0.237487,47,0,60.929974
35403,10035403,1,6.300000,2.451530,1.000000,11.000000,32.660000,14.962099,49.000000,0.000000,50,0,70.708406
35405,10035405,1,6.600000,2.236068,1.000000,12.000000,33.960000,15.506076,35.400000,11.854113,0,0,67.845700
35407,10035407,1,6.180000,1.915098,2.000000,10.000000,32.100000,14.050267,49.000000,0.000000,50,0,68.344324
35406,10035406,1,5.680000,1.974234,1.000000,10.000000,27.220000,11.788622,49.000000,0.000000,50,0,74.373866
35408,10035408,1,5.640000,1.584424,1.000000,9.000000,24.840000,10.040637,49.000000,0.000000,50,0,65.449866
35409,10035409,1,6.540000,2.393408,1.000000,11.000000,36.260000,17.954175,48.300000,0.458258,15,0,59.040749
35410,10035410,1,6.140000,2.584647,1.000000,12.000000,27.940000,14.877379,38.900000,13.345037,0,1,61.870061
35412,10035412,1,5.560000,2.546841,1.000000,11.000000,23.780000,16.363728,47.120000,6.448690,2,0,68.292549
35411,10035411,1,6.600000,3.085450,0.000000,13.000000,39.880000,25.813671,41.520000,11.803796,0,0,67.091797
35413,10035413,1,6.260000,2.415036,1.000000,11.000000,30.160000,16.567873,48.100000,0.412311,7,1,63.765178
35415,10035415,1,6.920000,2.998933,1.000000,13.000000,43.360000,29.394394,47.380000,8.012216,48,0,65.497350
35414,10035414,1,6.780000,2.647943,1.000000,11.000000,37.580000,17.914341,47.860000,6.699284,48,1,67.083064
35416,10035416,1,7.800000,3.039737,1.000000,15.000000,55.460000,30.729927,48.160000,0.366606,8,1,57.383672
35418,10035418,1,6.660000,2.462600,0.000000,11.000000,35.680000,18.325327,47.040000,6.720000,0,0,76.172073
35417,10035417,1,6.540000,2.531482,1.000000,11.000000,34.240000,21.944074,48.980000,0.140000,49,0,71.671607
35419,10035419,1,6.180000,3.235367,0.000000,13.000000,37.000000,30.809090,47.040000,6.720000,0,0,64.055441
35420,10035420,1,6.160000,2.886936,1.000000,12.000000,37.880000,26.408059,37.000000,12.933677,0,0,62.410247
