K,method,variant,acc_S_test_mean,auc_S_test_mean,acc_M_test_mean,auc_M_test_mean,acc_SM_mean,auc_SM_mean,acc_MS_mean,auc_MS_mean,asymmetry_mean
10,perm_rf,strict,0.8578837828837829,0.9162616921248915,0.8717532467532468,0.9233009472004851,0.8061509324009325,0.8625330819072703,0.8141092241092241,0.9029158688256466,0.015676406926406886
11,perm_rf,strict,0.8578837828837829,0.9162616921248915,0.8717532467532468,0.9233009472004851,0.8061509324009325,0.8625330819072703,0.8141092241092241,0.9029158688256466,0.015676406926406886
12,perm_rf,strict,0.8611159673659673,0.9196109647096161,0.8935668498168498,0.9462753784884779,0.8098684648684649,0.8660872610780829,0.8374879287379287,0.8803420826176821,0.027619463869463814
13,perm_rf,strict,0.8611159673659673,0.9196109647096161,0.8935668498168498,0.9462753784884779,0.8098684648684649,0.8660872610780829,0.8374879287379287,0.8803420826176821,0.027619463869463814
14,perm_rf,strict,0.8678800366300367,0.9370938455275993,0.8945450382950383,0.9484589570644141,0.8113095238095238,0.8557878604703655,0.8408503996003995,0.8887617220233978,0.029540875790875738
15,perm_rf,strict,0.8683337495837495,0.9371970369582133,0.8948801198801198,0.9484959486692128,0.811690392940393,0.8578676937656083,0.8406568431568431,0.8878099707693239,0.028966450216450168
16,perm_rf,strict,0.8683337495837495,0.9371970369582133,0.8948801198801198,0.9484959486692128,0.811690392940393,0.8578676937656083,0.8406568431568431,0.8878099707693239,0.028966450216450168
17,perm_rf,strict,0.8732642357642358,0.9411015973703286,0.9008741258741259,0.9529153434810279,0.7961342823842824,0.8596404270471454,0.8449263236763237,0.8899736958637433,0.04879204129204126
18,perm_rf,strict,0.8732642357642358,0.9411015973703286,0.9008741258741259,0.9529153434810279,0.7961342823842824,0.8596404270471454,0.8449263236763237,0.8899736958637433,0.04879204129204126
19,perm_rf,strict,0.8732642357642358,0.9411015973703286,0.9008741258741259,0.9529153434810279,0.7961342823842824,0.8596404270471454,0.8449263236763237,0.8899736958637433,0.04879204129204126
20,perm_rf,strict,0.8732642357642358,0.9411015973703286,0.9008741258741259,0.9529153434810279,0.7961342823842824,0.8596404270471454,0.8449263236763237,0.8899736958637433,0.04879204129204126
21,perm_rf,strict,0.8732642357642358,0.9411015973703286,0.9008741258741259,0.9529153434810279,0.7961342823842824,0.8596404270471454,0.8449263236763237,0.8899736958637433,0.04879204129204126
22,perm_rf,strict,0.8744859307359308,0.9413568974523644,0.9062083749583749,0.9567110306027639,0.8036971361971362,0.8664633358441426,0.8482088744588744,0.8937955953054605,0.044511738261738217
23,perm_rf,strict,0.8744859307359308,0.9413568974523644,0.9062083749583749,0.9567110306027639,0.8036971361971362,0.8664633358441426,0.8482088744588744,0.8937955953054605,0.044511738261738217
24,perm_rf,strict,0.882001332001332,0.9460489264107522,0.9066183816183816,0.9571924074718156,0.7746049783549783,0.8534315893480479,0.8469426406926406,0.8946437423507229,0.0723376623376623
25,perm_rf,strict,0.8830856643356643,0.9465572899045677,0.9069451381951382,0.9574615075442373,0.7922315184815184,0.8636754217726995,0.8466899766899768,0.8920175282177031,0.05445845820845816
26,perm_rf,strict,0.8832126207126207,0.9467601090634307,0.9090118215118216,0.9603794073683559,0.7903937728937729,0.8634363450818245,0.8451506826506826,0.8914360628341024,0.05475690975690972
27,perm_rf,strict,0.8824550449550449,0.9461238644805078,0.9098963536463537,0.9606007155723065,0.7858345820845821,0.8669026074034191,0.845703046953047,0.8915058579033355,0.05986846486846483
28,perm_rf,strict,0.8823655511155511,0.946074296998373,0.9098068598068597,0.9605761615798455,0.7868173493173494,0.8677986607132461,0.8457092907092907,0.8915148001765134,0.058891941391941344
29,perm_rf,strict,0.8941891441891442,0.9534187491870435,0.9099421411921412,0.9611112471236721,0.6725824175824177,0.8231906160148542,0.8468489843489843,0.8950874675607444,0.1742665667665667
30,perm_rf,strict,0.9037191974691975,0.9573631449927028,0.9099192474192476,0.9612637289866311,0.6778704628704628,0.8334684638954121,0.8465422077922078,0.8965363340039914,0.1686717449217449
31,perm_rf,strict,0.90360680985681,0.9573785682973369,0.9100919913419913,0.9611680308951788,0.6767003829503829,0.832736366634531,0.8464714452214452,0.8960936293559919,0.16977106227106223
32,perm_rf,strict,0.9037691475191476,0.9575357007502987,0.9121316183816184,0.9622834785718776,0.6760651848151848,0.837843766581404,0.8461971361971362,0.895397902193544,0.17013195138195134
33,perm_rf,strict,0.9039294039294039,0.9576355405541844,0.911865218115218,0.9622231524095285,0.6802281052281053,0.8391533205805183,0.8462204462204461,0.8952290609823077,0.16599234099234098
1,perm_xgb,soft,0.8420350482850484,0.8949067275756212,0.8465846653346653,0.8982414033269427,0.8122756410256411,0.885788479003514,0.802588245088245,0.8954858858881711,0.01174700299700295
2,perm_xgb,soft,0.8472132034632035,0.8973986558105564,0.8605498667998668,0.9112778190216376,0.8200670163170164,0.8912041115935346,0.795982350982351,0.8921441377678265,0.024305278055278018
