delta_mean,delta_std,delta_ci_lo,delta_ci_hi,paired_t,paired_p_twosided,cohens_d_paired,n_seeds,config,classifier,direction,partition,metric
0.008049809518653205,0.0010111416075974883,0.006195745282439788,0.009879290913881308,35.60316607364608,7.3835447812765e-19,7.961109955488693,20,Plus_Poly2,LogReg,SM,te,auc
-0.08812562437562436,0.02217852451526539,-0.13755869130869128,-0.06332854645354646,-17.76988243991402,2.7001369844864643e-13,-3.973466508782757,20,Plus_Poly2,LogReg,SM,tgt,acc
-0.12279958315909863,0.035208915023497586,-0.19542204726467335,-0.07779591852328493,-15.597652774539021,2.7628805091390298e-12,-3.4877411893307455,20,Plus_Poly2,LogReg,SM,tgt,auc
0.007561188811188818,0.001446371292242112,0.005147977022977035,0.00986513486513485,23.378965364169932,1.8325264904936175e-15,5.227695579789709,20,Plus_Poly2,LogReg,MS,te,acc
0.012401462797941298,0.001287218862542421,0.010427746579095305,0.015177345756141993,43.08593455795106,2.054107733162526e-20,9.634307854568593,20,Plus_Poly2,LogReg,MS,te,auc
0.006809440559440561,0.003884638242925244,0.00029095904095903513,0.012149725274725255,7.839274098371332,2.2625628437665637e-07,1.752914977821167,20,Plus_Poly2,LogReg,MS,tgt,acc
0.005830726840591988,0.0007874277182712162,0.004515049822804565,0.007027235314635432,33.11517050078134,2.864168966701582e-18,7.404777232624281,20,Plus_Poly2,LogReg,MS,tgt,auc
0.00033716283716286324,0.0019320524492031693,-0.0027534965034964943,0.004133366633366619,0.7804332886447168,0.44475069384873067,0.17451018853133016,20,Plus_All,CatBoost,SM,te,acc
-4.754860524094906e-05,0.0004563065393372876,-0.0007465545817818664,0.0009054444556444023,-0.4660109132272375,0.6465057294505183,-0.10420320802328588,20,Plus_All,CatBoost,SM,te,auc
-0.012800949050949046,0.014197557387671748,-0.04103021978021973,0.009366258741258737,-4.0322136368737,0.000711838602577691,-0.9016303791851247,20,Plus_All,CatBoost,SM,tgt,acc
-0.005350603068260379,0.007403116764929192,-0.01649838161339164,0.006415953052941052,-3.232236519063897,0.004385267568800419,-0.7227500575984168,20,Plus_All,CatBoost,SM,tgt,auc
