seed,verdict,reason,seconds
1824,accept,ok,39
1822,accept,ok,40
1839,accept,ok,36
1841,accept,ok,36
1851,accept,ok,34
1853,accept,ok,37
1854,accept,ok,35
1858,accept,ok,34
1852,accept,ok,41
1857,accept,ok,39
1860,accept,ok,36
1869,accept,ok,34
1876,accept,ok,33
1865,accept,ok,37
1880,accept,ok,32
1885,accept,ok,26
1882,accept,ok,35
1884,accept,ok,35
1890,accept,ok,34
1891,accept,ok,34
1929,reject,Assert_connectivity_failed,4
1904,accept,ok,30
1892,accept,ok,33
1903,accept,ok,32
1893,accept,ok,36
1894,accept,ok,36
1939,reject,Attacker_not_available
Terminated,6
1910,accept,ok,31
1913,accept,ok,31
1911,accept,ok,33
1915,accept,ok,33
1905,accept,ok,44
1914,accept,ok,35
1906,accept,ok,44
1924,accept,ok,30
1919,accept,ok,33
1918,accept,ok,36
1923,accept,ok,34
1922,accept,ok,36
1927,accept,ok,33
1960,reject,Attacker_not_available
Terminated,7
1930,accept,ok,30
1969,reject,Assert_connectivity_failed,2
1925,accept,ok,44
1936,accept,ok,33
1940,accept,ok,31
1973,reject,Assert_connectivity_failed,3
1938,accept,ok,37
1942,accept,ok,33
1931,accept,ok,40
1945,accept,ok,32
1941,accept,ok,37
1953,accept,ok,29
1950,accept,ok,35
1954,accept,ok,31
1952,accept,ok,36
1948,accept,ok,39
1986,reject,Attacker_not_available
Terminated,7
1961,accept,ok,31
1958,accept,ok,34
1956,accept,ok,35
1963,accept,ok,32
1965,accept,ok,29
1959,accept,ok,37
2009,reject,Attacker_not_available
Terminated,9
2013,reject,Attacker_not_available
Terminated,6
1968,accept,ok,33
2020,reject,Attacker_not_available
Terminated,7
1964,accept,ok,39
1971,accept,ok,33
1970,accept,ok,35
1972,accept,ok,37
1979,accept,ok,33
1982,accept,ok,31
1981,accept,ok,32
1983,accept,ok,32
1975,accept,ok,35
2041,reject,Attacker_not_available
Terminated,6
1996,accept,ok,32
2044,reject,Attacker_not_available
Terminated,6
1999,accept,ok,34
2002,accept,ok,33
2015,accept,ok,30
2010,accept,ok,35
2006,accept,ok,37
2058,reject,Assert_connectivity_failed,3
2019,accept,ok,34
2068,reject,Assert_connectivity_failed,3
2016,accept,ok,36
2011,accept,ok,40
2028,accept,ok,33
2023,accept,ok,38
2070,reject,Attacker_not_available
Terminated,7
2025,accept,ok,38
2042,accept,ok,29
2036,accept,ok,35
2047,accept,ok,30
2035,accept,ok,39
2081,reject,Attacker_not_available
Terminated,7
2031,accept,ok,40
2038,accept,ok,37
2040,accept,ok,34
2043,accept,ok,35
2050,accept,ok,33
2048,accept,ok,33
2054,accept,ok,30
2052,accept,ok,35
2061,accept,ok,29
2055,accept,ok,34
2112,reject,Attacker_not_available
Terminated,6
2120,reject,Assert_connectivity_failed,4
2069,accept,ok,32
2129,reject,Assert_connectivity_failed,5
2130,reject,Attacker_not_available
Terminated,6
2074,accept,ok,32
2080,accept,ok,29
2059,accept,ok,40
2132,reject,Attacker_not_available
Terminated,6
2078,accept,ok,35
2075,accept,ok,40
2086,accept,ok,35
2094,accept,ok,35
2103,accept,ok,32
2102,accept,ok,33
2100,accept,ok,35
2097,accept,ok,35
2106,accept,ok,34
2104,accept,ok,34
2111,accept,ok,30
2108,accept,ok,34
2155,reject,Attacker_not_available
Terminated,7
2095,accept,ok,43
2125,accept,ok,30
2116,accept,ok,37
2123,accept,ok,37
2176,reject,Attacker_not_available
Terminated,7
2133,accept,ok,32
2134,accept,ok,30
2137,accept,ok,32
2139,accept,ok,31
2135,accept,ok,35
2140,accept,ok,31
2136,accept,ok,36
2154,accept,ok,35
2165,accept,ok,30
2157,accept,ok,33
2170,accept,ok,29
2153,accept,ok,39
2156,accept,ok,35
2166,accept,ok,34
2158,accept,ok,36
2168,accept,ok,35
2174,accept,ok,35
2204,reject,Attacker_not_available
Terminated,7
2175,accept,ok,38
