k,features,s2m,m2s,cross_mean,in_static,in_mobile,coverage,has_dead,degenerate,is_selected
2,TcMessageRate;AverageMprCount,0.712325,0.7674166666666666,0.7398708333333333,0.8575833333333334,0.8882916666666666,exhaustive,False,False,False
2,TcMessageRate;AvgFlowDuration,0.6044833333333334,0.6183416666666667,0.6114125,0.6991666666666667,0.7700833333333333,exhaustive,False,False,False
2,TcMessageRate;AvgFlowThroughput,0.6601666666666667,0.6553416666666666,0.6577541666666666,0.7232916666666666,0.7795833333333334,exhaustive,False,False,False
2,TcMessageRate;AvgTxBytesPerFlow,0.6601666666666667,0.6553416666666666,0.6577541666666666,0.7232916666666666,0.7795833333333334,exhaustive,False,False,False
2,TcMessageRate;AvgTxPacketSize,0.6633583333333334,0.6874666666666668,0.6754125000000001,0.7487083333333334,0.8037083333333334,exhaustive,False,False,False
2,TcMessageRate;AvgTxPacketsPerFlow,0.62055,0.6174416666666666,0.6189958333333333,0.6967916666666666,0.7706249999999999,exhaustive,False,False,False
2,TcMessageRate;DataPacketRate,0.6351,0.6174916666666667,0.6262958333333333,0.6971666666666666,0.7737083333333333,exhaustive,False,False,False
2,TcMessageRate;FlowDurationStd,0.5884916666666666,0.6225416666666667,0.6055166666666667,0.699,0.7710416666666666,exhaustive,False,False,False
2,TcMessageRate;FlowThroughputStd,0.6527416666666667,0.6338666666666667,0.6433041666666667,0.7292083333333333,0.7725833333333334,exhaustive,False,False,False
2,TcMessageRate;HnaMessageRate,0.6363250000000001,0.6174083333333333,0.6268666666666667,0.6965,0.7727916666666667,exhaustive,True,False,False
2,TcMessageRate;MidMessageRate,0.6363250000000001,0.6174083333333333,0.6268666666666667,0.6965,0.7727916666666667,exhaustive,True,False,False
2,TcMessageRate;NormalizedRoutingLoad,0.620375,0.6195333333333334,0.6199541666666667,0.7010833333333334,0.7708333333333334,exhaustive,False,False,False
2,TcMessageRate;RoutingOverheadBytesRatio,0.6161583333333334,0.6171916666666667,0.6166750000000001,0.7017083333333334,0.769625,exhaustive,False,False,False
2,TcMessageRate;Throughput,0.6299416666666667,0.6305166666666667,0.6302291666666667,0.7060000000000001,0.7730416666666667,exhaustive,False,False,False
2,Throughput;AvgFlowDuration,0.5525166666666667,0.5844333333333332,0.568475,0.6105416666666666,0.6258333333333334,exhaustive,False,False,False
2,Throughput;AvgFlowThroughput,0.7117083333333333,0.6793083333333333,0.6955083333333333,0.69075,0.7198333333333333,exhaustive,False,False,False
2,Throughput;AvgTxBytesPerFlow,0.7117083333333333,0.6793083333333333,0.6955083333333333,0.69075,0.7198333333333333,exhaustive,False,False,False
2,Throughput;AvgTxPacketSize,0.7617166666666667,0.71945,0.7405833333333334,0.7338333333333334,0.779,exhaustive,False,False,False
2,Throughput;AvgTxPacketsPerFlow,0.6300166666666667,0.618225,0.6241208333333333,0.6273333333333334,0.6380416666666667,exhaustive,False,False,False
2,Throughput;FlowDurationStd,0.5564749999999999,0.5969166666666667,0.5766958333333333,0.6199166666666667,0.6337083333333333,exhaustive,False,False,False
2,Throughput;FlowThroughputStd,0.6846666666666668,0.6989666666666667,0.6918166666666667,0.7166666666666667,0.686875,exhaustive,False,False,False
2,Throughput;NormalizedRoutingLoad,0.590575,0.5925416666666666,0.5915583333333333,0.6310416666666666,0.6347916666666666,exhaustive,False,False,False
3,AverageAdvertisedLinksPerTCMessage;AverageHopCount;AvgFlowDuration,0.7962916666666665,0.7631333333333333,0.7797124999999999,0.7764166666666666,0.8276249999999999,exhaustive,False,False,False
3,AverageAdvertisedLinksPerTCMessage;AverageHopCount;AvgFlowThroughput,0.819975,0.78235,0.8011625,0.7916250000000001,0.8390833333333333,exhaustive,False,False,False
3,AverageAdvertisedLinksPerTCMessage;AverageHopCount;AvgTxBytesPerFlow,0.819975,0.78235,0.8011625,0.7916250000000001,0.8390833333333333,exhaustive,False,False,False
3,AverageAdvertisedLinksPerTCMessage;AverageHopCount;AvgTxPacketSize,0.8356083333333334,0.792925,0.8142666666666667,0.7924166666666665,0.844375,exhaustive,False,False,False
3,AverageAdvertisedLinksPerTCMessage;AverageHopCount;AvgTxPacketsPerFlow,0.7969416666666667,0.7595333333333333,0.7782374999999999,0.7829583333333333,0.8340416666666667,exhaustive,False,False,False
3,AverageAdvertisedLinksPerTCMessage;AverageHopCount;DataPacketRate,0.8086500000000001,0.764425,0.7865375000000001,0.7802083333333333,0.8334583333333333,exhaustive,False,False,False
3,AverageAdvertisedLinksPerTCMessage;AverageHopCount;FlowDurationStd,0.7962333333333333,0.7653083333333334,0.7807708333333334,0.7785833333333333,0.8276666666666667,exhaustive,False,False,False
3,AverageAdvertisedLinksPerTCMessage;AverageHopCount;FlowThroughputStd,0.795975,0.7630166666666667,0.7794958333333333,0.7849166666666667,0.827375,exhaustive,False,False,False
3,AverageAdvertisedLinksPerTCMessage;AverageHopCount;NormalizedRoutingLoad,0.7865333333333333,0.76375,0.7751416666666666,0.7765833333333333,0.8257916666666666,exhaustive,False,False,False
3,AverageAdvertisedLinksPerTCMessage;AverageHopCount;Throughput,0.8225250000000001,0.77515,0.7988375000000001,0.7894166666666665,0.8376250000000001,exhaustive,False,False,False
3,AverageAdvertisedLinksPerTCMessage;AverageMprCount;AverageHopCount,0.8580166666666668,0.7971083333333334,0.8275625000000001,0.8536666666666667,0.9092083333333333,exhaustive,False,False,False
3,AverageAdvertisedLinksPerTCMessage;AverageMprCount;AvgFlowDuration,0.7772916666666667,0.7939833333333333,0.7856375,0.8587916666666667,0.9038333333333334,exhaustive,False,False,False
3,AverageAdvertisedLinksPerTCMessage;AverageMprCount;AvgFlowThroughput,0.8580333333333333,0.7801333333333332,0.8190833333333333,0.85475,0.9082916666666666,exhaustive,False,False,False
3,AverageAdvertisedLinksPerTCMessage;AverageMprCount;AvgTxBytesPerFlow,0.8580333333333333,0.7801333333333332,0.8190833333333333,0.85475,0.9082916666666666,exhaustive,False,False,False
3,AverageAdvertisedLinksPerTCMessage;AverageMprCount;AvgTxPacketSize,0.8655416666666667,0.8066083333333333,0.8360749999999999,0.8541666666666666,0.9125833333333334,exhaustive,False,False,False
